FIPS,twhites,tblacks,D_WhiteGood
1001,6.8971428571,6.0971428571,0.3999129345
1003,7.2825552826,6.3267813268,0.4012655715
1005,6.7428571429,6.9285714286,0.2870995475
1007,7.2391304348,7.0434782609,0.2676283722
1009,7.1515151515,6.4090909091,0.4095048712
1011,7.75,7.65,0.1205894887
1013,7,6.75,0.1993010924
1015,7.1955017301,7.0259515571,0.2919292963
1017,7.1085271318,7.4651162791,0.2338659046
1019,7.4615384615,6.7692307692,0.3144458039
1021,7.1833333333,6.2666666667,0.447454703
1023,6.7058823529,7,0.1923867865
1025,7.2631578947,7.0877192982,0.250407278
1027,6.5217391304,6.1739130435,0.354997836
1029,7.6428571429,7.0357142857,0.3353600114
1031,7.0604651163,6.6697674419,0.3471255321
1033,7.4545454545,6.4090909091,0.3211985377
1035,6,7.6875,0.1552860736
1037,6.7692307692,6,0.2811977428
1039,7.4375,6.6125,0.3663906831
1041,7.7450980392,6.8235294118,0.2498899286
1043,7.1982758621,5.7931034483,0.399109083
1045,6.8955223881,6.6915422886,0.3074894478
1047,6.9813084112,7.0747663551,0.1312204215
1049,6.9540229885,6.3218390805,0.4293465256
1051,7.2293233083,6.6278195489,0.3037183597
1053,7.2461538462,6.6,0.3604420633
1055,7.3622047244,6.8267716535,0.3167390637
1057,7.5714285714,6.8571428571,0.2383274096
1059,7.8846153846,7.1346153846,0.368975595
1061,7.5,6.5694444444,0.3675565953
1063,6.7333333333,8,-0.0355532579
1065,7.3783783784,7.9459459459,-0.0358674267
1067,7.224137931,7.5517241379,0.273373546
1069,7.0189035917,6.6880907372,0.3189186453
1071,7.3488372093,6.7093023256,0.3362344362
1073,7.1565241228,6.9339364035,0.2764878959
1075,7.2777777778,7.3888888889,0.3212556633
1077,7.234741784,6.5680751174,0.3471754517
1079,7.35,7.3,0.2917619192
1081,7.5265832682,6.6000781861,0.376212006
1083,6.927184466,6.5242718447,0.3088286401
1085,7,7.3529411765,0.1864142297
1087,6.7037037037,8.3148148148,-0.090859279
1089,6.9349811929,6.7119828049,0.2894136443
1091,7.375,8.03125,0.0839852588
1093,7.5666666667,7.1666666667,0.2602315629
1095,7.1542553191,6.0904255319,0.4477119687
1097,7.2485779295,6.6911262799,0.3195699584
1099,7.2127659574,7.085106383,0.3165348428
1101,7.013321492,7.2557726465,0.1899237951
1103,7.1535580524,6.3782771536,0.4078412844
1105,6.8125,8.875,-0.0502545299
1107,7.3529411765,7.6470588235,0.2747294479
1109,7.4343629344,6.8204633205,0.2975005163
1111,7.5173824131,7.0347648262,0.1870922658
1113,7.0534979424,6.7407407407,0.2628685734
1115,7.045045045,6.3288288288,0.3720223776
1117,7.4319470699,6.5548204159,0.3565493187
1119,7.6428571429,7.1904761905,0.2547067181
1121,7.0666666667,7.0606060606,0.2195959021
1123,6.6966292135,6.1573033708,0.3413679455
1125,7.3464981569,6.8146392838,0.3211409332
1127,7.3958333333,6.4791666667,0.3785352754
1129,6.696969697,6.6060606061,0.258199387
1131,6.2,6.9,0.2844149193
1133,7.1818181818,6.3181818182,0.4439671564
2013,7,6,0.3573616756
2016,6.3333333333,6.5555555556,0.2520278082
2020,6.8641148325,6.4645933014,0.3302126088
2050,6.6470588235,6.3333333333,0.3735065379
