FIPS,warmth_to_muslims,warmth_to_others,implicit_bias_muslims_other_good
1001,5.214285714,6.571428571,0.11419297199999999
1003,4.816091954,7.367816092000001,0.163419044
1005,4.75,8.5,-0.05263117900000001
1007,3.75,6.25,0.25031249
1009,4.75,7.25,0.31943376
1011,8.0,8.0,0.536511485
1013,4.0,5.333333333,-0.735700295
1015,6.018867925,7.0,-0.039065296
1017,6.0,6.6363636360000005,-0.037451015
1019,4.0,6.0,0.134490799
1021,5.666666667,7.0,0.30741015
1025,7.0,7.666666667,-0.46133544299999996
1027,5.666666667,8.333333332999999,-0.110493651
1029,1.0,10.0,-0.023048187
1031,4.7,6.3666666670000005,0.041150065
1033,4.5,6.5,0.136579612
1037,5.0,5.0,0.7354704459999999
1039,4.25,7.5,0.14836860000000002
1041,5.0,5.0,-0.641663578
1043,5.125,5.9375,0.20227694899999998
1045,5.692307692000001,7.230769231,0.309533138
1047,6.25,5.75,-0.36365728700000005
1049,5.2,6.2,-0.009679075
1051,4.451612903,5.967741935,0.071452208
1053,4.666666667,5.666666667,-0.214627593
1055,5.32,6.36,0.067623031
1059,5.0,5.0,-0.24442482100000001
1061,3.8,7.4,0.192734228
1065,7.333333333,9.333333332999999,-0.018384268999999998
1067,3.75,6.25,0.149913001
1069,4.972972973,7.0,0.121813948
1071,4.4,5.6,0.37066798
1073,5.825925926,6.725925926,0.019930353
1077,5.933333332999999,6.8666666670000005,-0.006038751
1079,4.4,5.4,0.22128446100000002
1081,5.336734694,6.448979592000001,0.020337036
1083,5.1363636360000005,6.454545455,0.064942051
1087,6.666666667,6.666666667,0.13678088300000002
1089,5.104477612,6.402985075,0.114207886
1091,2.5,7.5,-0.047910104
1093,7.333333333,7.666666667,0.132866583
1095,4.923076923,6.923076922999999,0.120510182
1097,5.153005464,6.93989071,0.08935378599999999
1101,5.476744186,6.337209302000001,0.06560143
1103,5.9375,6.5,0.076661627
1107,0.0,10.0,-0.01472685
1109,5.454545455,7.242424242,0.09577190199999999
1111,4.571428571,8.0,0.305605984
1113,4.710526316,6.657894737,0.15486941199999998
1115,4.785714286,7.0,-0.041162482
1117,5.766233766,7.168831169,0.08178859599999999
1119,4.333333333,6.333333333,0.366909398
1121,5.416666667,7.0,0.138463299
1123,5.0,5.6,0.525781466
1125,5.729508197,6.87704918,0.062733219
1127,5.75,6.375,0.033661146
1129,5.0,5.0,0.39489456799999995
1133,5.0,6.5,0.022477253
2013,10.0,10.0,0.17991799
2016,10.0,10.0,-0.5081989370000001
2020,5.542222222,6.6844444439999995,0.090186183
2050,5.0,7.75,0.48220821399999997
2060,5.0,5.0,-0.382186961
2068,8.0,8.0,0.457253577
2070,4.0,8.0,0.794623845
2090,5.078431373,6.205882353,0.070638243
2110,5.608695652000001,6.173913043,0.069744624
2122,5.733333332999999,6.3,-0.018966474
2130,5.0,5.666666667,-0.024541292000000003
2150,4.0,6.75,0.23945170300000002
2170,5.323529412,6.205882353,0.093330605
2180,5.333333333,5.0,-0.026635992999999997
2185,4.0,6.0,0.564491139
2188,4.875,5.75,0.128103408
2220,6.0,6.4,0.233430389
2240,1.75,6.5,0.1562221
2261,4.5,5.666666667,0.19477708800000001
2270,3.0,8.0,-0.35639007100000003
2290,3.5,5.0,-0.400693915
4001,5.5,5.714285714,-0.031427531
4003,5.0882352939999995,6.049019607999999,0.10317411900000001
4005,5.922155688999999,6.766467066000001,0.004053261
4007,5.0,6.545454545,-0.034657875
4009,4.578947368,6.263157895,0.114077094
4011,5.0,6.714285714,0.40398881700000006
4012,4.375,6.625,0.24125859
4013,5.465743167,6.69599401,0.072798349
4015,4.835616438,6.232876712,0.005651489
4017,5.0,7.125,0.108571621
4019,5.440988836,6.555023922999999,0.055788837
4021,5.162601626,6.585365854,0.10846718300000001
4023,6.384615385,7.076923077000001,0.073473816
4025,5.408602151,6.52688172,0.086629231
4027,5.078431373,6.4117647060000005,0.06538696
5001,7.25,7.5,-0.307423488
5003,5.5,8.0,-0.078942907
5005,4.45,5.8,-0.026119331000000003
5007,5.567164179,6.865671642000001,0.098507895
5009,4.769230769,6.076923077000001,0.140275293
5013,0.0,5.0,-0.766117862
5015,5.5,6.6,0.006691771
5017,6.0,6.5,-0.007971190999999999
5019,5.55,7.25,0.043534502
5021,3.2,6.8,-0.06924775400000001
5023,6.0,8.166666667000001,0.116799777
5025,5.0,10.0,-0.025787129
5027,6.153846154,7.0,0.011196069
5029,8.0,7.25,0.199114088
5031,4.8684210530000005,7.105263158,0.015837933000000002
5033,3.933333333,6.8,0.208179647
5035,5.315789474,6.421052632,0.08582889099999999
5037,3.666666667,6.0,0.16230907
5039,3.0,5.5,0.252809063
5041,6.5,7.0,-0.23512713600000001
5043,5.75,7.0,0.285767578
5045,5.066037736,6.622641509,0.06958782599999999
5047,7.0,7.0,0.11650219099999999
5049,3.8,6.6,-0.038574299
5051,5.6333333329999995,6.8,0.06327628
5053,4.0,6.0,-0.044877300999999994
5055,5.583333333,7.291666667,0.17282492
5057,5.0,6.0,0.252544636
5059,5.0,7.75,0.262266558
5063,5.272727273,5.727272727000001,0.322673812
5065,4.7,6.6,0.104135965
5067,3.333333333,6.666666667,-0.090605428
5069,4.9,6.5,-0.054409835999999996
5071,5.25,6.625,-0.07296407099999999
5073,5.0,7.0,-0.27335424
5075,2.75,6.75,0.41522153700000003
5077,6.0,7.0,-0.332571581
5079,7.666666667,8.0,-0.448793265
5081,5.5,5.0,0.21459002800000002
5083,6.5,9.0,0.239877363
5085,5.0,6.393939393999999,-0.009269729
5087,7.25,7.75,-0.50655689
5089,3.571428571,5.571428571,0.291219706
5091,5.666666667,7.444444444,0.404790571
5093,4.8421052630000005,6.526315789,0.381402678
5099,5.0,5.5,-0.074644955
5101,1.0,10.0,-0.024275882000000002
5103,5.833333333,6.25,0.088047444
5105,6.0,7.375,0.13729676300000002
5107,4.5,6.0,0.38577862
5109,5.5,5.5,-0.064412673
5111,4.0,6.714285714,0.098939255
5115,5.422222222,6.933333332999999,0.11464005599999999
5117,4.25,5.75,0.214686115
5119,5.8687258689999995,6.749034749,0.04710446
5121,8.333333332999999,8.333333332999999,0.139213679
5123,6.4,6.0,-0.04387102
5125,5.53125,7.15625,0.023513577
5127,5.0,8.333333332999999,-0.26449541
5129,1.0,8.0,0.186186977
5131,4.3571428569999995,6.0,0.14047758400000002
5133,5.0,7.0,0.294481399
5135,6.142857143,7.285714286,0.30763708300000003
5137,5.0,7.8,-0.217489475
5139,4.625,7.4375,0.138662222
5141,5.0,5.0,0.575119254
5143,5.727848101,6.765822785,0.068322228
5145,4.1891891889999995,6.783783784,0.083187391
5147,4.5,5.75,0.219361163
5149,6.25,7.5,0.326978941
6001,5.993998909,6.534642662,0.002063523
6003,4.0,4.0,-0.21390961100000003
6005,5.25,5.625,-0.0363276
6007,5.847014925,6.638059701,0.020007012
6009,5.3125,6.25,0.011603762
6011,5.25,6.5,0.119064067
6013,5.713836477999999,6.468553459,0.012596767
6015,5.555555556,5.666666667,0.051523848
6017,5.514563107000001,6.427184466,0.053132198
6019,5.575052854,6.54756871,0.05343897400000001
6021,6.555555556,8.222222222000001,0.170291969
6023,5.731182796000001,6.290322581,-0.041387104
6025,5.53125,6.3125,0.08480679699999999
6027,5.0,5.0,0.090131645
6029,5.330275229,6.330275229,0.072351435
6031,5.186046512,6.465116279,0.056631916
6033,4.925925926000001,5.62962963,0.09966364400000001
6035,4.0,7.1,0.067312973
6037,5.564145347,6.5635891729999996,0.072135225
6039,5.651162791,6.441860465,0.05626238099999999
