State,FIPS,County,Year,Heart_Attack_Mortality,Stability
Alabama,1001,Autauga,2000,220.8,1
Alabama,1001,Autauga,2001,100.7,1
Alabama,1001,Autauga,2002,68.2,1
Alabama,1001,Autauga,2003,66.7,1
Alabama,1001,Autauga,2005,63.2,1
Alabama,1001,Autauga,2006,68.3,1
Alabama,1001,Autauga,2007,73.9,1
Alabama,1001,Autauga,2008,104.7,1
Alabama,1001,Autauga,2009,60,1
Alabama,1001,Autauga,2010,93.2,1
Alabama,1001,Autauga,2011,88.5,1
Alabama,1001,Autauga,2012,33.9,0
Alabama,1001,Autauga,2013,84.7,1
Alabama,1001,Autauga,2014,144.8,1
Alabama,1001,Autauga,2015,130,1
Alabama,1003,Baldwin,2000,89.6,1
Alabama,1003,Baldwin,2001,79.4,1
Alabama,1003,Baldwin,2002,89.1,1
Alabama,1003,Baldwin,2003,80.8,1
Alabama,1003,Baldwin,2004,75.8,1
Alabama,1003,Baldwin,2005,69.5,1
Alabama,1003,Baldwin,2006,56.8,1
Alabama,1003,Baldwin,2007,44.2,1
Alabama,1003,Baldwin,2008,44.3,1
Alabama,1003,Baldwin,2009,47.2,1
Alabama,1003,Baldwin,2010,51.8,1
Alabama,1003,Baldwin,2011,61,1
Alabama,1003,Baldwin,2012,42.4,1
Alabama,1003,Baldwin,2013,60.5,1
Alabama,1003,Baldwin,2014,41.7,1
Alabama,1003,Baldwin,2015,53.2,1
Alabama,1005,Barbour,2000,87.2,1
Alabama,1005,Barbour,2001,114.1,1
Alabama,1005,Barbour,2004,66.8,0
Alabama,1005,Barbour,2009,85.1,1
Alabama,1007,Bibb,2000,281.7,1
Alabama,1007,Bibb,2001,177.7,1
Alabama,1007,Bibb,2002,129,1
Alabama,1007,Bibb,2003,90.8,0
Alabama,1007,Bibb,2004,142.3,1
Alabama,1007,Bibb,2006,85.2,0
Alabama,1007,Bibb,2008,90.5,0
Alabama,1007,Bibb,2009,195.5,1
Alabama,1007,Bibb,2010,225.4,1
Alabama,1007,Bibb,2011,144.6,1
Alabama,1009,Blount,2000,161.1,1
Alabama,1009,Blount,2001,158.1,1
Alabama,1009,Blount,2002,147.7,1
Alabama,1009,Blount,2003,165.7,1
Alabama,1009,Blount,2004,180,1
Alabama,1009,Blount,2005,122.5,1
Alabama,1009,Blount,2006,172,1
Alabama,1009,Blount,2007,149,1
Alabama,1009,Blount,2008,143.4,1
Alabama,1009,Blount,2009,138.7,1
Alabama,1009,Blount,2010,78.7,1
Alabama,1009,Blount,2011,121.7,1
Alabama,1009,Blount,2012,95.8,1
Alabama,1009,Blount,2013,58.5,1
Alabama,1009,Blount,2014,76.5,1
Alabama,1009,Blount,2015,69.8,1
Alabama,1011,Bullock,2000,414.2,1
Alabama,1011,Bullock,2001,349.7,1
Alabama,1011,Bullock,2002,295.5,1
Alabama,1011,Bullock,2003,274.9,1
Alabama,1011,Bullock,2004,191,0
Alabama,1011,Bullock,2005,207.7,1
Alabama,1011,Bullock,2006,317,1
Alabama,1011,Bullock,2010,253.3,1
Alabama,1011,Bullock,2011,202.9,1
Alabama,1011,Bullock,2012,236.2,1
Alabama,1013,Butler,2000,113.4,1
Alabama,1013,Butler,2001,122.1,1
Alabama,1013,Butler,2002,158.3,1
Alabama,1013,Butler,2003,175.2,1
Alabama,1013,Butler,2004,104.9,1
Alabama,1013,Butler,2005,122.2,1
Alabama,1013,Butler,2006,130.3,1
Alabama,1013,Butler,2008,103.2,1
Alabama,1013,Butler,2014,105,1
Alabama,1015,Calhoun,2000,307.1,1
Alabama,1015,Calhoun,2001,239,1
Alabama,1015,Calhoun,2002,156.1,1
Alabama,1015,Calhoun,2003,173.1,1
Alabama,1015,Calhoun,2004,187,1
Alabama,1015,Calhoun,2005,244.2,1
Alabama,1015,Calhoun,2006,231.9,1
Alabama,1015,Calhoun,2007,283.8,1
Alabama,1015,Calhoun,2008,227.6,1
Alabama,1015,Calhoun,2009,225.7,1
Alabama,1015,Calhoun,2010,232,1
Alabama,1015,Calhoun,2011,189.5,1
Alabama,1015,Calhoun,2012,148.6,1
Alabama,1015,Calhoun,2013,131.4,1
Alabama,1015,Calhoun,2014,161.3,1
Alabama,1015,Calhoun,2015,145.2,1
Alabama,1017,Chambers,2000,106.6,1
Alabama,1017,Chambers,2001,116.8,1
Alabama,1017,Chambers,2002,107,1
Alabama,1017,Chambers,2003,148.5,1
Alabama,1017,Chambers,2004,107.4,1
Alabama,1017,Chambers,2005,117,1
Alabama,1017,Chambers,2006,96.8,1
Alabama,1017,Chambers,2007,116,1
Alabama,1017,Chambers,2008,85.5,1
Alabama,1017,Chambers,2009,125.3,1
Alabama,1017,Chambers,2010,175.6,1
Alabama,1017,Chambers,2011,145.5,1
Alabama,1017,Chambers,2012,90.4,1
Alabama,1017,Chambers,2013,60.2,1
Alabama,1017,Chambers,2014,55.3,0
Alabama,1019,Cherokee,2000,196.9,1
Alabama,1019,Cherokee,2001,200.4,1
Alabama,1019,Cherokee,2002,281.4,1
Alabama,1019,Cherokee,2003,208.1,1
Alabama,1019,Cherokee,2004,163.6,1
Alabama,1019,Cherokee,2005,200.9,1
Alabama,1019,Cherokee,2006,149.7,1
Alabama,1019,Cherokee,2007,135.2,1
Alabama,1019,Cherokee,2008,210.2,1
Alabama,1019,Cherokee,2009,169.9,1
Alabama,1019,Cherokee,2010,206.5,1
Alabama,1019,Cherokee,2011,211.3,1
Alabama,1019,Cherokee,2012,136.7,1
Alabama,1019,Cherokee,2013,142.2,1
Alabama,1019,Cherokee,2014,136,1
Alabama,1019,Cherokee,2015,129.3,1
Alabama,1021,Chilton,2000,277.7,1
Alabama,1021,Chilton,2001,222,1
Alabama,1021,Chilton,2002,223.3,1
Alabama,1021,Chilton,2003,206.4,1
Alabama,1021,Chilton,2004,268.4,1
Alabama,1021,Chilton,2005,278.4,1
Alabama,1021,Chilton,2006,268.4,1
Alabama,1021,Chilton,2007,149.8,1
Alabama,1021,Chilton,2008,191.5,1
Alabama,1021,Chilton,2009,203,1
Alabama,1021,Chilton,2010,205.5,1
Alabama,1021,Chilton,2011,122.5,1
Alabama,1021,Chilton,2012,147.3,1
Alabama,1021,Chilton,2013,166.5,1
Alabama,1021,Chilton,2014,211.1,1
Alabama,1021,Chilton,2015,86.6,1
Alabama,1023,Choctaw,2000,395.3,1
Alabama,1023,Choctaw,2001,266.7,1
Alabama,1023,Choctaw,2002,408.8,1
Alabama,1023,Choctaw,2003,316.1,1
Alabama,1023,Choctaw,2004,188.9,1
Alabama,1023,Choctaw,2005,167.1,1
Alabama,1023,Choctaw,2006,261.4,1
Alabama,1023,Choctaw,2008,154.6,1
Alabama,1023,Choctaw,2009,215.4,1
Alabama,1023,Choctaw,2010,168.2,1
Alabama,1023,Choctaw,2011,217.9,1
Alabama,1023,Choctaw,2012,266.2,1
Alabama,1023,Choctaw,2013,353.1,1
Alabama,1023,Choctaw,2014,404.2,1
Alabama,1023,Choctaw,2015,295.2,1
Alabama,1025,Clarke,2000,240,1
Alabama,1025,Clarke,2001,295.4,1
Alabama,1025,Clarke,2002,161.6,1
Alabama,1025,Clarke,2003,230.4,1
