State,FIPS,County,Year,"Neonatal deaths per 1,000",Stability
Alabama,1001,Autauga,2000-2004,2,1
Alabama,1001,Autauga,2001-2005,3,1
Alabama,1001,Autauga,2002-2006,3,1
Alabama,1001,Autauga,2003-2007,3,1
Alabama,1001,Autauga,2004-2008,4,1
Alabama,1001,Autauga,2005-2009,4,1
Alabama,1001,Autauga,2006-2010,3,1
Alabama,1001,Autauga,2007-2011,3,1
Alabama,1001,Autauga,2008-2012,3,1
Alabama,1001,Autauga,2009-2013,2,1
Alabama,1003,Baldwin,2000-2004,8,1
Alabama,1003,Baldwin,2001-2005,9,1
Alabama,1003,Baldwin,2002-2006,8,1
Alabama,1003,Baldwin,2003-2007,6,1
Alabama,1003,Baldwin,2004-2008,6,1
Alabama,1003,Baldwin,2005-2009,8,1
Alabama,1003,Baldwin,2006-2010,7,1
Alabama,1003,Baldwin,2007-2011,7,1
Alabama,1003,Baldwin,2008-2012,8,1
Alabama,1003,Baldwin,2009-2013,9,1
Alabama,1005,Barbour,2000-2004,2,1
Alabama,1005,Barbour,2001-2005,2,1
Alabama,1005,Barbour,2002-2006,3,1
Alabama,1005,Barbour,2003-2007,3,1
Alabama,1005,Barbour,2004-2008,3,1
Alabama,1005,Barbour,2005-2009,3,1
Alabama,1005,Barbour,2006-2010,4,1
Alabama,1005,Barbour,2007-2011,3,1
Alabama,1005,Barbour,2008-2012,2,1
Alabama,1005,Barbour,2009-2013,Suppressed,1
Alabama,1007,Bibb,2000-2004,2,1
Alabama,1007,Bibb,2001-2005,2,1
Alabama,1007,Bibb,2002-2006,2,1
Alabama,1007,Bibb,2003-2007,3,1
Alabama,1007,Bibb,2004-2008,3,1
Alabama,1007,Bibb,2005-2009,3,1
Alabama,1007,Bibb,2006-2010,2,1
Alabama,1007,Bibb,2007-2011,2,1
Alabama,1007,Bibb,2008-2012,2,1
Alabama,1007,Bibb,2009-2013,2,1
Alabama,1009,Blount,2000-2004,3,1
Alabama,1009,Blount,2001-2005,3,1
Alabama,1009,Blount,2002-2006,3,1
Alabama,1009,Blount,2003-2007,3,1
Alabama,1009,Blount,2004-2008,3,1
Alabama,1009,Blount,2005-2009,Suppressed,1
Alabama,1009,Blount,2006-2010,2,1
Alabama,1009,Blount,2007-2011,Suppressed,1
Alabama,1009,Blount,2008-2012,Suppressed,1
Alabama,1009,Blount,2009-2013,2,1
Alabama,1011,Bullock,2000-2004,Suppressed,1
Alabama,1011,Bullock,2001-2005,Suppressed,1
Alabama,1011,Bullock,2002-2006,Suppressed,1
Alabama,1011,Bullock,2003-2007,Suppressed,1
