State,FIPS,County,Year,Percent_of_Population_in_Poverty,Stability
Alabama,1001,Autauga,2000,10.50,1
Alabama,1001,Autauga,2001,10.80,1
Alabama,1001,Autauga,2002,10.30,1
Alabama,1001,Autauga,2003,10.40,1
Alabama,1001,Autauga,2004,11.60,1
Alabama,1001,Autauga,2005,10.40,1
Alabama,1001,Autauga,2006,12.50,1
Alabama,1001,Autauga,2007,10.40,1
Alabama,1001,Autauga,2008,10.70,1
Alabama,1001,Autauga,2009,11.20,1
Alabama,1001,Autauga,2010,11.90,1
Alabama,1001,Autauga,2011,14.90,1
Alabama,1001,Autauga,2012,12.70,1
Alabama,1001,Autauga,2013,13.50,1
Alabama,1003,Baldwin,2000,9.70,1
Alabama,1003,Baldwin,2001,11.10,1
Alabama,1003,Baldwin,2002,10.70,1
Alabama,1003,Baldwin,2003,10.10,1
Alabama,1003,Baldwin,2004,10.00,1
Alabama,1003,Baldwin,2005,11.40,1
Alabama,1003,Baldwin,2006,11.00,1
Alabama,1003,Baldwin,2007,10.30,1
Alabama,1003,Baldwin,2008,9.90,1
Alabama,1003,Baldwin,2009,13.30,1
Alabama,1003,Baldwin,2010,13.30,1
Alabama,1003,Baldwin,2011,13.40,1
Alabama,1003,Baldwin,2012,13.90,1
Alabama,1003,Baldwin,2013,14.20,1
Alabama,1005,Barbour,2000,22.20,1
Alabama,1005,Barbour,2001,24.20,1
Alabama,1005,Barbour,2002,23.60,1
Alabama,1005,Barbour,2003,22.20,1
Alabama,1005,Barbour,2004,23.90,1
Alabama,1005,Barbour,2005,22.40,1
Alabama,1005,Barbour,2006,28.70,1
Alabama,1005,Barbour,2007,26.10,1
Alabama,1005,Barbour,2008,24.50,1
Alabama,1005,Barbour,2009,32.80,1
Alabama,1005,Barbour,2010,25.30,1
Alabama,1005,Barbour,2011,29.50,1
Alabama,1005,Barbour,2012,29.00,1
Alabama,1005,Barbour,2013,28.20,1
Alabama,1007,Bibb,2000,17.80,1
Alabama,1007,Bibb,2001,18.20,1
Alabama,1007,Bibb,2002,17.70,1
Alabama,1007,Bibb,2003,16.80,1
Alabama,1007,Bibb,2004,17.10,1
Alabama,1007,Bibb,2005,16.60,1
Alabama,1007,Bibb,2006,18.80,1
Alabama,1007,Bibb,2007,18.20,1
Alabama,1007,Bibb,2008,18.50,1
Alabama,1007,Bibb,2009,18.10,1
Alabama,1007,Bibb,2010,20.90,1
Alabama,1007,Bibb,2011,22.20,1
Alabama,1007,Bibb,2012,21.50,1
Alabama,1007,Bibb,2013,23.10,1
Alabama,1009,Blount,2000,12.00,1
Alabama,1009,Blount,2001,13.60,1
Alabama,1009,Blount,2002,12.60,1
Alabama,1009,Blount,2003,11.90,1
Alabama,1009,Blount,2004,12.40,1
Alabama,1009,Blount,2005,11.40,1
Alabama,1009,Blount,2006,12.80,1
Alabama,1009,Blount,2007,13.10,1
Alabama,1009,Blount,2008,13.10,1
Alabama,1009,Blount,2009,14.60,1
Alabama,1009,Blount,2010,16.50,1
Alabama,1009,Blount,2011,14.90,1
Alabama,1009,Blount,2012,16.20,1
Alabama,1009,Blount,2013,17.20,1
Alabama,1011,Bullock,2000,28.60,1
Alabama,1011,Bullock,2001,32.90,1
Alabama,1011,Bullock,2002,31.40,1
Alabama,1011,Bullock,2003,26.50,1
Alabama,1011,Bullock,2004,30.30,1
Alabama,1011,Bullock,2005,38.20,1
Alabama,1011,Bullock,2006,32.90,1
Alabama,1011,Bullock,2007,34.00,1
Alabama,1011,Bullock,2008,33.60,1
Alabama,1011,Bullock,2009,34.70,1
Alabama,1011,Bullock,2010,31.10,1
Alabama,1011,Bullock,2011,32.80,1
Alabama,1011,Bullock,2012,32.30,1
Alabama,1011,Bullock,2013,35.20,1
Alabama,1013,Butler,2000,20.70,1
Alabama,1013,Butler,2001,21.60,1
Alabama,1013,Butler,2002,20.40,1
Alabama,1013,Butler,2003,20.00,1
Alabama,1013,Butler,2004,21.00,1
Alabama,1013,Butler,2005,23.10,1
Alabama,1013,Butler,2006,22.80,1
Alabama,1013,Butler,2007,23.20,1
Alabama,1013,Butler,2008,22.30,1
Alabama,1013,Butler,2009,29.40,1
Alabama,1013,Butler,2010,28.10,1
Alabama,1013,Butler,2011,24.10,1
Alabama,1013,Butler,2012,26.30,1
Alabama,1013,Butler,2013,28.80,1
Alabama,1015,Calhoun,2000,15.10,1
Alabama,1015,Calhoun,2001,16.30,1
Alabama,1015,Calhoun,2002,15.80,1
Alabama,1015,Calhoun,2003,16.40,1
Alabama,1015,Calhoun,2004,16.90,1
Alabama,1015,Calhoun,2005,16.90,1
Alabama,1015,Calhoun,2006,17.60,1
Alabama,1015,Calhoun,2007,17.10,1
Alabama,1015,Calhoun,2008,17.60,1
Alabama,1015,Calhoun,2009,19.00,1
Alabama,1015,Calhoun,2010,23.50,1
Alabama,1015,Calhoun,2011,20.90,1
Alabama,1015,Calhoun,2012,21.40,1
Alabama,1015,Calhoun,2013,21.40,1
Alabama,1017,Chambers,2000,15.40,1
Alabama,1017,Chambers,2001,16.30,1
Alabama,1017,Chambers,2002,16.10,1
Alabama,1017,Chambers,2003,16.30,1
Alabama,1017,Chambers,2004,17.20,1
Alabama,1017,Chambers,2005,16.20,1
Alabama,1017,Chambers,2006,18.30,1
Alabama,1017,Chambers,2007,15.60,1
Alabama,1017,Chambers,2008,18.70,1
Alabama,1017,Chambers,2009,20.70,1
Alabama,1017,Chambers,2010,28.50,1
Alabama,1017,Chambers,2011,23.70,1
Alabama,1017,Chambers,2012,21.50,1
Alabama,1017,Chambers,2013,22.50,1
Alabama,1019,Cherokee,2000,15.60,1
Alabama,1019,Cherokee,2001,16.90,1
Alabama,1019,Cherokee,2002,16.30,1
Alabama,1019,Cherokee,2003,15.30,1
Alabama,1019,Cherokee,2004,16.10,1
Alabama,1019,Cherokee,2005,16.20,1
Alabama,1019,Cherokee,2006,18.10,1
Alabama,1019,Cherokee,2007,18.90,1
Alabama,1019,Cherokee,2008,17.70,1
Alabama,1019,Cherokee,2009,18.40,1
Alabama,1019,Cherokee,2010,21.20,1
Alabama,1019,Cherokee,2011,23.80,1
